ru,lez
"Я сказал ему, чтобы он не возвращался.",За адаз  хквемир  лагьана
Я плаваю в океане.,За сернавза гьуьле
Улыбнитесь.,Хъвер ая.
"Вы узнали, как это делается?",Им гьикӀ ийизвайди я квез чир хьанвани?
"Если бы у тебя было миллион иен, что бы ты с ними сделал?",Эгер ваз миллион иен авайт1а вуна абур гьиниз ийидай?
"Ни слова не понимаю из того, что ты говоришь.","На лугьузай гафарикай, зун садани гъавурда акьунач"
В классе никого нет.,Классда касни авач
День начался очень хорошо.,Югъ ппара хъсан гатlунна
"Ты можешь прочитать, что написано на доске?",Вагай доскадал кхьенвай затl кlелиз жедани?
Мы вынимали косточки из вишен для пирога.,Чна пирог чыран патал вишнярай цилер акъудна
Во сколько ты пришёл?,Вун мус хтана?
"Я могу видеть, почему он решил не идти.","Завай килигиз жедан, вучиз ада фин тийидай меслят  кьабулнатӏа"
Хочу прогуляться.,Заз сейр ийиз кӀанзава.
Ты каждый день это делаешь?,Вуна гьар юкъуз им ийизан?
Это было очень интересно.,Ама заз гзаф фикирлу я
Вы не выглядите счастливыми.,Кюн шадзайхIиз аквазвач
Я не могу вам сегодня заплатить.,Къе завай ваз гьакъи гуз жедач.
Я это давно знаю.,Заз ам мусалай чидай тир
Какие у тебя любимые фильмы?,Ви рикl алай кинояр гьибур я?
Ты напрасно просишь прощения; твой поступок невозможно простить.,"Вуна нагьахъ гъил къачун т|плабзава, ви крарилай гъил къачуз жедайди туш."
"Скажи мне, куда пошёл Том.",Том гьиниз фенватӀа заз лагь.
Я дал ей немного денег.,За гана адаз са т!имил пул
Почему ты не рассказал нам про Тома?,Вучиз вуна чаз Томакай акъайнач?
Том в дорогой одежде.,Томал багьа парталар ала.
"Думаю, мне лучше пойти с тобой.","Зи фикирдай, зун вахъ галаз  фейитӏа хъсан я"
"Мэри знает, кто убил её собаку.","Мэридиз чизва, адан кицӀ ни кьенатӀа."
"По мнению твоей матери, ты сейчас где?",Ви дидедин кьатӏунрай вун гьина ава?
Вы изучаете английский?,Куьне англискидин чирвилер кьацизван
Она всегда будет его любить.,Адаз гьамиша гьама к|аниз амукьда.
Сколько в этой книге страниц?,Ин китабда шмуд чар ава?
Она закричала во весь голос.,Ада кIевиз гьарай авуна
У меня три кошки.,Заз пуд кац ава.
Моя семья сейчас в Бостоне.,Зи хизан исятда Бостонда ава
Вы точно заперли дверь?,Куьне рак дуьз агалнани?
Ты не мог бы показать мне эту сумку?,Вавай заз и чанта къалуриз жедани?
"Я уснул, пока этим занимался.",Зун ахвариз фена и к1валах ийидайла
Собака твоя?,киц1 вид ян?
"Думаю, Том не заплачет.","За фикирзава, Том шехьдеч."
А меня тоже Томом зовут.,зин тlварни Том я
Я думал о тебе.,За фикир вакьа авуна
Сколько сейчас времени в Бостоне?,Бостонда сятдин шумуд я?
"Когда мне было пятнадцать лет, я могла говорить на пяти языках.","Зи ц1увад йис тирла, загай вад ч1алал рахаз жезвай"
Том и Мэри в этом самолёте.,Томни Мери и самолетдава
Я прочёл дневник Тома.,За Томан йикъарган кlелна
Ты видел его сегодня утром?,Ваз ам къе экуьнахъ акунан?
Закрывайте глаза и спите!,Вилер акьала ва ксус!
Я открыл жалюзи.,За перде ахъайна.
Нам остаётся сделать только одну вещь.,Чаз амукьзади ийиз анжах са шеъ я
Я правильно произношу?,За дуьз сивяй акъудзани?
Я не буду тихим.,Зун секиндиз жедач.
Он спокойный.,Ам секинди я
"Я думал, Тома убьют.","За фикирнава, Том яна рекьида лагьана"
"Представьте себе на минуту, в какой среде живёт полярный медведь.","Са дагъе фикир ча, полюсдин севре гьихьтин чкара яшамишзава"
Это был не сон.,Ам ахвар тушир
"Они бы сделали это, если бы у них было больше времени.",Абуру и к1валах айидай абуруз гзаф вахт авайт1а
Вчера было не настолько холодно.,Накь икьван мекьи тушир.
Иисус любит вас.,Иисусдиз куьн кIанзава.
"Я признателен вам за всё, что вы сделали.",Куьне авур кӀвалахар виляй зун квелай гзаф рази я.
Из её глаз потекли слёзы.,Адан вилерай нахъвар атана
Том обнимает Мэри.,Тома Мэридин гардан кьазва.
Тебе она прямо сейчас нужна?,Ваз ам гьасятда герек ийизвани ?
Я буду готова через несколько минут.,Зун са шумуд декьикьадилай гьазур жеда
"Он сказал, что хочет уйти пораньше.",Ада вичиз фад хъфиз кlанзава лагьана
Вы ошибаетесь. Я не так говорил.,Куьне гъалатӀ ийизва. За гьакӀ лагьанвачир.
Я узнал его тайну.,Заз адан сир чир хьана.
Что может быть лучше?,Идалай вуч хъсан жеда?
Никто этого не видел.,И кар садазни акуначир.
"Мои книги написаны на румынском языке, её — на английском.","Зин ктабар кхьенвайди я румынски ч|алал,адан -английски ч|алал"
Том умер молодым.,Том жегьилзамаз кьена.
Ты ещё не ел.,Вуна гилани туьнвачни.
Том даже не обсудил проблему с Мэри.,Тома Меридихъ галаз къагъудикай са рахунни авунач
У неё ненасытная тяга к шоколаду.,Ам шкалат туьнгай нез кӏан жезава
Кто кричит?,Ни гьарайзава?
Том очень быстро бежит.,Том гзаф кӏевиз катзава
Том ещё спит?,Том гьеле ксанман?
Я никогда раньше не слышал эту песню.,Заз садрани и маниди ван ататуш
"Надеюсь, ты завтра придёшь.","Умуд кутазва, вун пака къведа лагьана"
Банк по пятницам закрывается поздно.,Банк жуьмя йикъара геж агал жезва.
"По акценту я понял, что он американец.",Адан нугъатлай ам американец тирди зун гъавурда акьуна.
Покупайте!,Къачу
Раньше я её ненавидела.,Идалай вилик заз ам дакӏандай
"Не похоже, чтобы ты был голодный.",Вун гишинзадаз ухшар авач
"Том спал, когда я ушёл.","Том ксана , зун хъфела"
Том всегда говорит на французском.,Том гьамиша рахазва франс чӏалал.
Нам его не хватает.,Чаз ам бейс жезвач.
"Я рад, что тебе нравится наш дом.",Ваз чи кIвал иердиз акунал зун шад я.
Дай я расскажу тебе про Бостон.,Къала за ваз Бостондикай ихтилат ийин
Ты не знал?,Ваз чизвачирни?
"Мне нужно убедиться, что у тебя не сломана нога.","За тамаш авуна канзава, ви кIвач ханвачтIа."
Это большая пушистая кошка.,"Им чӀехи, цак алай кац я."
"Ладно, пойдём выясним.","ГьакӀ хьуй, ша чирин."
Встань на весы.,Терездал акъваз.
Тому нужно носить очки.,Томаз айнаяр алук1ун герек я
"Я рад, что ты не позвонил нам.",Зун шад я вуна ЗАЗ зенг тувунал
Я не хочу идти в гости к Тому.,Заз Томан к1вализ мугьмандиз физ к1анзавач.
Что это за звук?,Им вуч ван я?
Том живёт надо мной.,Том зи винел яшамиш жезва.
"Я так и знал, что Том не сумеет этого сделать.","Заз чизвайди тир, Томавай икl тежедайди"
"Мне страшно, когда я один дома.",Зун кӀвале тек авайла заз кичӀезва.
Я приду одна.,Зун кьилди къведа
Мой отец иногда выезжает за границу.,Зу буба арада патан уьлквейриз физва
Пятнадцать - не простое число.,Ц|увад–регьят число туш
Выглядело довольно плохо.,Лап пис аквазвай
Она решила бросить курить.,Ада ч1угун гадарун къет1 авуна
Это очень трудная работа.,Им гзаф четин к1валах я.
Почему Луна не падает?,Вучиз варз аватзавач?
Мне нужно поехать в Бостон.,Зун Бостондиз фена кӀанзава.
В следующую субботу я выхожу замуж.,Къведай ругуд лагьай юкъуз зун гъуьлуьз физва.
Ты не мог бы пойти со мной в магазин?,Вагай жедачни захъ галаз туьквендиз атун
"Думаю, мы пойдём с тобой.","Зи фикирдалди, чун фида вахъ галаз"
